date,temp,humidity,rainfall
5/11/2025,22.85,64.1,82
5/12/2025,17.77,44.3,111.6
5/13/2025,15.12,41.4,49.9
5/14/2025,20.78,92.9,33.9
5/15/2025,36.52,86,83.5
5/16/2025,20.4,78.3,63.6
5/17/2025,25.49,62.5,105.1
5/18/2025,30.28,49.5,14
5/19/2025,21.45,48.6,175.4
5/20/2025,37.27,53.8,177.5
5/21/2025,37.02,70.2,125.7
5/22/2025,18.55,79.3,96.5
5/23/2025,24.93,76.3,55.7
5/24/2025,19.82,55.4,146.5
5/25/2025,19.41,92.5,123.3
5/26/2025,12.96,80.6,29.3
5/27/2025,27.85,70.5,164
5/28/2025,25.07,73.6,148.1
5/29/2025,13.34,63.1,171
5/30/2025,19.24,53.6,130.6
5/31/2025,35.61,59.6,110.4
6/1/2025,18.23,81.7,75.3
6/2/2025,15.77,40.8,167.9
6/3/2025,24.73,46.4,155.9
6/4/2025,37.63,42.5,8.1
6/5/2025,18.29,42.2,4.7
6/6/2025,29.48,87.1,67.8
6/7/2025,31.8,78.7,145.9
6/8/2025,18.18,66.1,177.7
6/9/2025,30.93,45.4,27.1
6/10/2025,21.56,67,106.9
6/11/2025,28.44,66,68.6
6/12/2025,28.47,49.5,174.6
6/13/2025,25.93,63.9,151.6
6/14/2025,14.35,61.9,150.9
6/15/2025,33.72,73.9,84.4
6/16/2025,20.34,74.9,74.7
6/17/2025,16.85,42.5,49.2
6/18/2025,13.06,60.6,10.1
6/19/2025,27.36,74.4,155.7
6/20/2025,29.62,67.7,146.3
6/21/2025,12.43,87.1,179.9
6/22/2025,25.31,76.2,179.4
6/23/2025,17.89,49,100
6/24/2025,28.77,43.9,138.4
6/25/2025,16.53,75.3,170.1
6/26/2025,29.96,41.5,152.9
6/27/2025,22.06,72.2,44.5
6/28/2025,36.35,91.7,81.1
6/29/2025,15.58,71.7,23.2
